scharm,
X,Y
4.890959925442685,0.22989510489510484
3.068033550792172,0.07010489510489507
3.269338303821063,0.04003496503496495
3.157502329916124,0.04003496503496509
2.578751164958062,0.06013986013986011
2.8779123951537753,0.04020979020979018
2.2684063373718546,0.03006993006993003
2.039142590866729,0.020104895104895104
1.9273066169617894,0.010139860139860124
1.6477166821994411,0.030069930069930112
1.558247903075489,0.020279720279720304
1.376514445479963,0.03006993006993
1.4184529356943152,0.010139860139860124
