scharm,
X,Y
2.470345963756178,0.04989572471324294
2.560543657331137,0.039885297184567264
2.6705107084019772,0.03988529718456724
2.7397034596375622,0.03988529718456721
2.8706754530477765,0.02997914494264861
2.9398682042833615,0.039989572471324286
3.1301482701812193,0.039989572471324286
3.319192751235585,0.039989572471324314
2.9200988467874796,0.05990615224191867
3.0498352553542007,0.05990615224191864
3.049835255354201,0.06991657977059437
3.220345963756178,0.06991657977059433
3.4303953871499173,0.10995828988529718
3.6194398682042834,0.10995828988529718
4.009884678747941,0.14989572471324297
3.5193574958813842,0.15990615224191868
