scharm,
X,Y
10.46915167095116,1.2807377049180333
8.66323907455013,0.7192622950819676
9.408740359897177,0.34016393442622994
6.188946015424166,0.11987704918032804
5.970437017994859,0.09938524590163933
5.250642673521851,0.2100409836065571
5.674807197943446,0.1598360655737705
5.366323907455012,0.12909836065573765
5.038560411311055,0.09938524590163955
4.672236503856041,0.07889344262295084
3.2583547557840613,0.0399590163934429
2.847043701799485,0.0399590163934429
2.724935732647814,0.050204918032786816
2.4999999999999996,0.00922131147540961
