scharm,
X,Y
2.2115384615384603,0.09208103130755063
2.403846153846153,0.07366482504603766
2.3076923076923053,0.11049723756904939
2.7403846153846203,0.07366482504603766
2.7764423076923057,0.07366482504603766
3.1129807692307674,0.1104972375690636
3.3774038461538476,0.1289134438305659
3.5937499999999982,0.22099447513810944
3.9663461538461515,0.33149171270717304
4.39903846153846,0.2394106813996224
4.987980769230767,0.5156537753222743
5.216346153846153,0.20257826887659647
5.396634615384615,0.3130755064456565
5.4447115384615365,0.6813996316758555
5.661057692307691,1.2891344383057017
5.841346153846152,0.7734806629834132
6.165865384615384,0.6629834254143496
6.286057692307691,0.736648250460398
6.766826923076921,0.7918968692449369
6.694711538461537,1.3443830570902264
7.199519230769229,1.2891344383057017
6.899038461538457,1.9705340699815643
7.115384615384616,2.375690607734814
7.091346153846152,2.836095764272553
7.487980769230766,2.504604051565366
7.608173076923072,1.9521178637200727
7.680288461538459,1.233885819521177
8.064903846153847,2.2651933701657363
8.257211538461537,1.6758747697974066
8.485576923076923,2.1362799263351633
8.60576923076923,2.173112338858189
8.701923076923077,1.8968692449355338
8.653846153846153,2.9097605893186085
9.02644230769231,3.0570902394106767
9.134615384615383,3.075506445672186
9.675480769230766,3.204419889502752
10.03605769230769,2.70718232044198
9.96394230769231,3.4069981583793805
9.771634615384617,3.885819521178629
9.266826923076923,4.2173112338858125
9.879807692307693,5.11970534069982
10.096153846153847,4.659300184162067
9.963942307692307,4.825046040515655
10.04807692307692,6.33517495395947
10.82932692307692,2.2836095764272635
10.228365384615383,3.5359116022099393
10.516826923076923,4.346224677716389
10.66105769230769,3.6832412523020253
10.913461538461537,3.646408839779003
11.021634615384617,5.046040515653768
11.213942307692307,6.224677716390424
11.670673076923073,4.861878453038674
11.65865384615385,3.5543278084714522
12.2235576923077,5.930018416206238
12.608173076923073,6.46408839779005
11.406249999999996,7.348066298342545
11.310096153846153,6.648250460405155
11.44230769230769,6.335174953959488
11.706730769230766,6.464088397790054
11.899038461538456,7.329650092081032
12.055288461538453,7.403314917127069
11.177884615384617,8.637200736648246
11.23798076923077,8.895027624309389
12.127403846153847,9.963167587476974
12.24759615384615,9.244935543278082
12.75240384615384,8.268876611418044
12.75240384615384,7.826887661141804
13.54567307692308,7.7532228360957625
13.593749999999986,8.176795580110493
13.42548076923076,8.83977900552486
13.100961538461533,9.263351749539595
12.99278846153845,9.723756906077348
13.509615384615376,9.90791896869245
13.161057692307697,10.976058931860038
13.882211538461544,11.325966850828731
14.555288461538463,9.005524861878449
15.85336538461538,8.674033149171269
16.418269230769237,13.001841620626152
15.336538461538474,17.384898710865556
15.38461538461538,17.550644567219152
15.612980769230777,19.723756906077348
16.141826923076923,21.63904235727441
17.343750000000007,23.222836095764272
