scharmuetzel,
X,Y
1.434874408900383,0.04112554112554112
1.5016835016835017,0.07099567099567095
1.7298214051460805,0.08095238095238111
1.9599832586845576,0.03116883116883118
2.0097636850883602,0.08095238095238111
2.061999087973114,0.10086580086580099
2.199521498222797,0.031168831168831623
2.231992154070076,0.08138528138528067
2.2928793188533447,0.10086580086580066
2.232423180475129,0.11125541125541083
2.342659745257148,0.15064935064935037
2.682346032995383,0.09090909090909172
2.781044832992885,0.13073593073593115
2.841513464890088,0.12121212121212155
2.7358745150952943,0.20043290043290046
3.101534828807556,0.14069264069264031
3.3817644596865373,0.16060606060606053
3.741940118563493,0.12077922077922065
3.6549102652998755,0.2896103896103897
3.456350768039079,0.32943722943722953
3.8833480132181375,0.32034632034632043
4.042209353897665,0.3294372294372296
4.123598383338644,0.3696969696969698
4.196891612476026,0.4489177489177491
5.086074099061111,0.4692640692640694
4.325749767308205,0.5787878787878791
4.406557848116288,0.578787878787879
