scharmu,
X,Y
2.2628205128205137,0.030013831258644597
2.237179487179488,0.039972337482710896
2.60897435897436,0.030013831258644486
2.6474358974358982,0.04993084370677736
3.256410256410257,0.039972337482710896
3.750000000000001,0.07980636237897654
4.1602564102564115,0.08008298755186721
4.807692307692308,0.089764868603043
5.262820512820514,0.10995850622406639
5.948717948717949,0.13983402489626556
6.301282051282052,0.09999999999999992
6.647435897435898,0.16002766251728906
7.506410256410257,0.14979253112033192
7.262820512820514,0.17994467496542182
8.685897435897436,0.16002766251728912
9.634615384615385,0.19986168741355465
9.544871794871797,0.2798063623789765
9.589743589743588,0.3796680497925311
10.346153846153847,0.35975103734439834
