scharm,
X,Y
21.41089108910891,10.366361365528725
23.282178217821784,6.744379683597002
21.0990099009901,3.663613655287259
18.336633663366335,3.5970024979184014
18.64851485148515,2.939217318900914
14.772277227722773,2.4063280599500416
11.445544554455447,0.7993338884263093
9.797029702970297,0.5328892589508722
7.658415841584159,0.2997502081598675
7.495049504950495,0.3580349708576147
7.272277227722773,0.2581182348043285
6.500000000000002,0.33305578684429626
6.3663366336633676,0.2331390507910065
6.128712871287129,0.2581182348043285
5.935643564356435,0.14154870940882702
5.237623762376238,0.19150707743546924
5.000000000000001,0.16652789342214724
