scharmu,
X,Y
9.521951219512195,0.26979591836734695
9.270243902439024,0.19979591836734695
7.572682926829267,0.1
6.881951219512195,0.08979591836734696
6.167804878048781,0.09979591836734694
6.4019512195121955,0.08000000000000002
6.1795121951219505,0.06979591836734692
5.951219512195121,0.059795918367346934
5.781463414634146,0.049795918367346925
5.51219512195122,0.049795918367346925
5.711219512195122,0.06999999999999998
5.7697560975609745,0.06999999999999998
5.172682926829268,0.059795918367346934
4.710243902439024,0.06
4.306341463414634,0.049795918367346925
4.230243902439024,0.04959183673469386
4.1951219512195115,0.04959183673469386
3.8204878048780486,0.03979591836734697
3.732682926829268,0.03979591836734697
3.6917073170731713,0.049795918367346925
3.8497560975609755,0.059795918367346934
3.2526829268292676,0.049795918367346925
3.2058536585365847,0.03979591836734697
3.1707317073170724,0.029795918367346907
3.276097560975609,0.029795918367346907
2.8429268292682925,0.0197959183673469
2.690731707317073,0.03979591836734697
2.7492682926829266,0.02999999999999997
2.673170731707317,0.029795918367346907
2.5443902439024386,0.029795918367346963
2.2751219512195116,0.029795918367346963
2.2282926829268286,0.029795918367346963
2.064390243902439,0.0197959183673469
2.234146341463415,0.0197959183673469
2.3102439024390238,0.0197959183673469
2.1521951219512196,0.009795918367346945
2.298536585365854,0.010000000000000009
