scharmu,
X,Y
4.41779497098646,0.13013059701492538
4.108317214700193,0.09011194029850746
4.048355899419729,0.08003731343283582
4.537717601547389,0.060074626865671624
3.83752417794971,0.04999999999999999
3.5976789168278533,0.08003731343283582
3.62862669245648,0.05009328358208953
3.5976789168278533,0.0200559701492537
3.4177949709864603,0.0400186567164179
3.357833655705996,0.0400186567164179
3.439071566731141,0.05
3.2495164410058024,0.05009328358208953
3.079303675048356,0.06007462686567164
3.1586073500967116,0.0400186567164179
2.9980657640232105,0.0200559701492537
2.9303675048355897,0.030037313432835805
2.8394584139264993,0.010074626865671621
2.69825918762089,0.010074626865671621
2.599613152804642,0.010074626865671621
2.5783365570599615,0.030037313432835805
2.2475822050290137,0.020055970149253727
2.1392649903288206,0.010074626865671649
2.0502901353965184,0.03003731343283582
